GeneID	GSM5226229	GSM5226230	GSM5226231	GSM5226232	GSM5226233	GSM5226234	GSM5530616	GSM5530617	GSM5530618	GSM5530619	GSM5530620	GSM5530621
100287102	4	7	1	7	1	8	4	2	5	13	7	2
653635	304	335	119	493	551	526	457	254	317	734	383	227
102466751	5	5	0	16	18	8	4	6	0	0	5	4
107985730	1	0	0	0	0	0	0	0	0	0	1	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	1	0	1	0	0	0	0	0	0	1	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	7	21	3	66	60	60	9	21	5	8	14	32
729737	129	131	13	640	195	464	57	153	29	89	93	328
102725121	2	5	0	7	1	12	1	0	1	7	6	1
102723897	344	353	109	528	638	623	508	284	324	752	375	252
102465909	5	6	0	16	17	10	3	6	0	0	6	4
107985721	0	0	0	1	0	1	0	1	0	1	1	0
112268260	13	10	2	25	11	24	10	7	3	3	6	10
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	69	86	4	331	171	258	38	85	13	37	71	155
105378947	3	2	0	4	1	5	0	2	0	0	0	1
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	6232	3188	5093	3789	4712	3076	6053	2233	4307	7550	5111	3294
81399	0	1	0	2	1	2	0	1	0	0	0	3
100133331	78	92	6	379	177	296	44	89	14	36	76	173
107984841	1	8	1	43	31	45	1	11	1	2	2	18
107984847	1	5	0	31	28	55	0	10	1	0	2	24
107984849	1	2	0	7	5	9	0	3	0	0	0	4
100288069	1	7	0	59	39	55	3	10	2	2	3	23
105378580	11	32	2	51	34	41	1	21	2	0	7	22
400728	19	12	1	12	7	8	4	2	0	0	2	8
79854	50	48	0	86	43	47	10	20	2	11	18	44
643837	558	591	26	419	159	777	113	414	34	54	186	425
107984850	2	1	1	2	1	3	1	2	0	0	3	0
284593	4	5	2	4	5	6	4	4	2	1	3	3
284600	27	8	1	30	54	7	8	12	0	13	16	9
100130417	154	119	2	115	87	105	200	61	77	126	94	54
107985728	46	110	0	206	156	189	5	60	1	5	23	80
148398	600	489	86	570	340	444	350	306	160	689	416	449
26155	1355	1313	177	1125	1995	1258	497	715	246	815	672	1094
339451	172	91	18	401	567	308	85	88	22	79	96	164
84069	20	8	0	291	355	127	27	8	5	289	19	126
84808	6	32	0	34	38	13	11	4	4	142	5	20
57801	393	1163	66	611	732	545	205	136	99	509	190	705
9636	907	978	65	553	289	1134	617	218	195	10054	328	1274
375790	511	1023	115	6336	13933	5029	801	383	503	1638	1275	2703
100288175	22	6	2	65	111	9	8	8	1	5	8	9
112267874	4	1	1	9	21	10	5	6	4	7	3	4
105378948	20	5	3	111	97	48	15	24	3	8	28	9
401934	1	0	0	9	25	16	1	0	0	9	3	6
54991	194	183	36	290	477	247	137	113	79	337	131	190
254099	0	2	1	3	5	2	1	2	0	3	6	0
406984	0	1	0	1	4	1	0	2	0	0	1	0
406983	0	1	0	4	2	8	0	2	0	0	2	2
554210	0	0	0	12	3	9	2	4	0	0	11	2
100506376	4	3	2	9	15	9	2	18	2	3	23	7
254173	10	8	1	19	73	25	9	17	3	6	11	4
8784	78	19	3	111	29	69	33	32	10	283	30	58
7293	181	42	8	124	27	133	61	51	12	205	73	136
51150	3667	2800	373	2922	3287	3216	1240	1355	529	841	1619	3156
126792	518	421	164	434	667	574	419	200	222	683	297	388
388581	32	27	2	40	33	38	21	20	9	148	23	20
118424	992	740	163	691	724	834	428	402	228	634	382	685
101928895	17	27	0	81	69	115	28	30	8	16	12	30
6339	120	93	42	202	189	297	147	121	78	253	186	89
116983	768	946	73	1642	1372	1910	525	1125	333	1422	948	1014
102465434	0	0	0	0	0	0	0	0	0	0	0	0
109623456	1	1	0	8	3	9	0	2	0	0	3	7
126789	367	176	89	252	175	225	171	100	121	424	116	183
54973	1160	1206	270	1425	2387	1469	847	726	486	1465	807	923
102465435	0	2	0	4	2	7	1	3	2	2	3	3
80772	256	215	82	378	698	386	141	107	109	254	158	204
83756	13	17	3	32	35	16	12	5	9	27	14	23
1855	1153	1023	302	2077	3801	1527	357	521	265	679	585	1217
102466740	0	3	0	3	2	1	0	1	1	0	0	3
54587	6382	2780	86	3208	1868	4123	3618	1025	673	2035	2347	8052
54998	1937	1147	1225	856	1171	947	1118	437	1396	3937	753	818
81669	5287	4187	177	6256	10307	6492	1984	3148	458	818	2623	5362
148413	329	331	158	343	335	418	276	163	203	369	221	174
55052	2306	1710	1046	1097	1064	1146	1196	620	844	1346	793	985
107984868	14	11	0	24	4	34	18	29	5	6	20	13
441869	381	152	9	468	48	609	261	265	100	136	498	244
105378585	10	5	0	30	6	38	11	14	2	3	18	10
643965	0	2	0	8	0	3	0	2	0	0	0	1
102724312	12	15	14	51	28	46	46	9	28	45	30	10
107985729	3	9	2	40	16	22	3	2	0	5	9	6
64856	1171	1039	228	3245	2992	2489	996	1012	407	1169	1365	1081
219293	97	74	32	131	316	225	115	149	98	165	153	103
83858	1342	592	78	903	1311	1037	325	403	202	1133	433	911
55210	744	393	122	451	743	537	203	217	188	787	245	552
339453	78	48	0	38	21	46	45	25	9	17	23	44
29101	2210	1721	747	1422	2598	1519	1371	912	849	1385	990	1274
643988	163	91	14	173	57	237	160	67	68	608	120	132
105378586	7	6	0	10	5	16	2	3	0	5	5	8
142678	1360	907	176	1531	1556	1600	632	798	393	980	833	1002
8510	1369	395	27	290	402	301	236	158	172	662	240	378
984	1022	953	78	1363	1824	1214	360	568	97	222	507	890
728661	440	735	70	1796	1257	2090	399	855	116	153	437	717
8511	1100	276	18	161	310	182	186	106	143	564	172	263
728642	823	792	84	1142	1503	1048	317	515	117	310	465	716
9906	313	588	60	1045	640	1119	450	470	123	161	388	361
112268218	137	118	26	91	97	119	81	37	35	108	64	60
65220	1153	1491	114	1471	2040	1655	287	578	121	346	408	925
2782	6347	6923	444	7869	8035	8699	2165	3165	552	1541	2368	7771
105378949	6	2	5	11	15	9	3	4	3	0	11	3
163688	21	6	12	27	22	12	6	10	26	13	6	5
339456	6	5	694	5	53	101	173	3	648	5	49	3
85452	1	1	0	2	0	3	1	0	0	2	4	4
107984872	0	0	0	0	0	0	0	0	0	0	0	0
105378589	0	2	0	5	8	7	1	1	0	6	9	4
2563	4	14	0	58	17	48	30	15	6	43	40	24
105378590	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	0	0
5590	84	110	78	388	712	374	131	117	138	296	145	144
100506504	4	7	2	56	79	38	3	18	4	16	28	24
199990	757	593	296	689	962	677	607	336	562	2100	466	432
112268219	65	63	8	128	80	162	64	69	28	119	77	65
105378593	5	7	0	15	15	17	5	5	2	9	7	1
6497	1407	2589	37	2409	2507	2702	306	821	98	349	493	2519
79906	33	57	18	122	112	150	61	53	77	63	53	41
100129534	10	23	8	36	34	65	36	26	15	34	41	25
11079	3113	2108	632	2441	2933	2358	1346	895	696	1203	1180	1761
5192	411	427	137	404	600	518	255	205	173	296	275	294
9651	27	71	11	1225	697	1860	75	1481	56	190	838	232
55229	304	341	12	578	977	494	122	309	38	92	210	381
388585	0	2	0	1	2	0	0	10	0	0	1	1
115110	105	124	18	516	787	384	88	107	45	221	141	98
8764	1244	978	142	2680	2324	1757	921	689	367	1472	1220	693
100996583	5	3	0	13	6	33	4	6	8	28	11	6
127281	160	217	68	1148	1222	762	185	180	134	490	270	178
79258	19	33	11	179	200	119	28	20	9	26	61	19
105378597	0	0	0	1	1	2	1	3	0	0	0	0
100287898	2	3	1	40	11	57	5	18	6	14	12	7
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	2	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	3	1	0	0	0	2	0	0	0
107984904	0	0	0	2	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0
440556	15	354	117	36	76	362	99	37	211	83	203	14
63976	15	453	25	94	530	452	47	63	67	25	109	30
100422968	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	7	1	0	0	0	2	0	1	0	1	0
107984909	1	11	0	0	5	0	0	2	0	0	1	0
105378605	0	3	2	0	6	5	3	0	0	0	2	0
105378604	8	73	1	7	34	39	7	3	5	12	51	24
27237	29	27	58	929	1138	606	98	172	95	227	250	124
1953	745	1887	43	2149	4775	2084	865	916	242	1152	506	1912
105378608	5	3	0	41	15	23	30	13	10	24	7	5
693135	0	0	0	0	0	1	0	0	0	0	0	0
105378607	0	0	0	0	8	0	0	0	0	0	0	0
127262	1228	1424	374	1414	1365	1547	812	738	502	1021	627	670
49856	255	291	55	471	501	415	173	172	67	75	167	172
7161	7	11	9	78	35	49	26	6	21	46	20	6
105378610	0	0	0	6	0	2	0	4	0	5	3	4
105378609	0	0	0	0	0	0	0	0	0	0	0	0
57212	289	617	53	725	350	1096	247	389	74	95	239	389
148870	1	1	0	4	1	1	0	1	0	0	2	0
388588	13	6	64	16	19	33	37	12	71	49	17	7
57470	689	960	275	794	1033	1026	455	494	324	473	475	653
9731	285	468	19	711	820	770	141	321	46	110	138	388
1677	79	109	9	232	164	270	73	121	15	13	95	98
107984910	4	7	1	4	1	6	2	2	0	0	5	1
339448	343	366	33	576	531	521	204	233	41	54	182	200
100133612	0	2	0	1	1	7	1	1	0	1	1	4
728716	0	0	0	0	0	0	0	1	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	1	0	0
105376679	0	0	0	0	0	1	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0
55966	28	36	10	9	5	174	27	23	21	2	79	23
105376680	0	0	0	0	0	1	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	16	0	0	0	0	8	0
105376686	0	6	4	0	0	60	1	0	20	1	24	0
100616421	0	0	0	0	1	0	0	1	0	0	0	0
261734	200	194	5	454	472	581	116	260	18	20	145	386
8514	1026	389	9	1465	529	1549	356	415	65	371	465	524
26038	3	209	0	87	115	113	104	241	5	30	44	22
105376687	0	0	0	0	0	0	0	1	0	0	0	0
