Sample,Condition
GSM6469515,Normal
GSM6469514,Normal
GSM6469513,Normal
GSM6469512,Normal
GSM6469511,Normal
GSM6469510,Normal
GSM6469509,Normal
GSM6469508,Normal
GSM6469507,Normal
GSM6469506,Normal
GSM6469505,Normal
GSM6469504,Normal
GSM6469503,Tumor
GSM6469502,Tumor
GSM6469501,Tumor
GSM6469500,Tumor
GSM6469499,Tumor
GSM6469498,Tumor
GSM6469497,Tumor
GSM6469496,Tumor
GSM6469495,Tumor
GSM6469494,Tumor
GSM6469493,Tumor
GSM6469492,Tumor
GSM6469491,Tumor
GSM6469490,Tumor
GSM6469489,Tumor
GSM6469488,Tumor
