GeneID	GSM6469488	GSM6469489	GSM6469490	GSM6469491	GSM6469492	GSM6469493	GSM6469494	GSM6469495	GSM6469496	GSM6469497	GSM6469498	GSM6469499	GSM6469500	GSM6469501	GSM6469502	GSM6469503	GSM6469504	GSM6469505	GSM6469506	GSM6469507	GSM6469508	GSM6469509	GSM6469510	GSM6469511	GSM6469512	GSM6469513	GSM6469514	GSM6469515
100287102	10	5	10	23	12	0	3	5	2	5	2	9	6	11	17	14	8	5	0	2	10	0	0	28	26	17	37	11
653635	988	1352	3086	2245	8071	3024	1582	2077	3801	4412	1682	3362	3930	4511	3994	3872	2145	788	544	756	18741	6098	14052	2798	2365	3148	1359	3509
102466751	11	14	43	9	34	28	28	12	54	32	6	35	31	71	40	21	36	4	5	18	267	8	47	35	37	23	18	58
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	3	2	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	1	1	0	0	9	6	9	0	7	4	0	0	2	0	0	83	2	0	0	25	0
79501	0	0	3	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0
100996442	2	9	9	19	29	18	18	2	13	18	7	22	17	39	8	9	38	7	3	8	40	7	16	17	3	10	9	10
729737	273	724	1937	2641	3199	1011	2205	447	1479	2837	2667	2314	1644	5570	1123	1605	4209	484	560	772	10609	623	3134	824	1066	1556	1206	1930
102725121	12	5	17	30	11	1	6	4	4	6	2	9	14	13	21	18	12	25	0	4	14	0	2	30	35	18	5	40
102723897	1118	1307	3265	1691	6173	2296	1306	2096	3231	4541	1943	3436	4452	4453	4228	3772	1759	758	477	626	15249	5599	9944	3272	2547	3550	1849	3717
102465909	23	19	46	20	36	23	28	15	82	42	14	23	44	64	54	32	26	7	1	26	200	14	71	47	20	34	18	90
107985721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268260	1	1	2	0	3	0	3	4	1	6	10	11	3	1	2	0	0	0	0	0	88	0	42	9	0	1	13	0
729759	26	45	51	0	13	1	4	46	25	30	17	53	51	101	23	35	21	0	15	2	122	0	0	5	0	10	39	33
100132287	510	772	1972	1780	2127	831	1348	752	1776	2158	1229	2336	1777	3767	1914	1825	2194	375	300	378	4802	162	1677	771	1246	1762	937	1228
105378947	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	40	68	92	27	215	123	31	38	10	53	21	23	23	33	17	19	19	6	28	28	41	9	14	4	5	13	7	5
81399	32	48	63	3	23	13	10	64	34	67	27	78	78	147	36	52	43	3	18	3	185	0	80	37	18	28	51	54
100133331	484	882	2276	1408	2200	903	1560	1127	2102	1651	956	2590	1834	3315	2278	1950	2763	566	524	482	4145	182	2986	1503	1221	2283	1075	1024
107984841	105	261	802	628	626	287	566	524	738	556	359	736	701	1170	1041	645	812	139	124	182	1100	27	1638	527	342	561	369	526
107984847	120	299	906	714	636	351	559	396	993	726	481	963	754	1282	892	864	855	237	107	164	2136	26	2232	522	297	697	489	725
107984849	48	70	287	235	297	122	218	90	219	297	136	222	135	469	258	195	326	39	45	63	158	0	338	197	154	141	72	225
100288069	7	22	37	50	63	25	44	7	19	29	7	25	26	34	13	11	47	20	13	11	61	2	19	17	13	21	15	17
105378580	0	5	14	38	18	8	37	14	13	20	48	39	36	21	28	19	11	8	3	12	10	0	0	2	39	25	17	13
400728	0	1	2	0	0	1	2	0	1	1	0	0	1	1	2	0	2	0	0	0	1	0	0	2	1	1	0	0
79854	6	12	19	7	26	22	14	14	36	27	8	16	14	30	26	19	8	1	2	1	21	3	6	2	22	24	2	10
643837	3	10	24	11	7	10	12	16	14	29	19	40	13	17	12	9	7	8	0	4	11	1	85	12	11	12	9	10
107984850	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284593	0	0	0	0	0	8	0	0	0	0	8	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
284600	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100130417	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985728	1	0	1	1	2	2	0	2	7	1	4	8	4	0	1	5	5	0	0	0	0	0	0	0	0	1	0	0
148398	10	18	50	21	93	40	17	181	205	174	218	196	235	43	103	283	64	3	0	2	152	2	481	30	11	110	15	20
26155	578	592	1404	491	3403	1560	529	1660	1562	3939	2350	1543	2376	2651	1838	2478	557	193	235	324	4573	1426	5970	830	1052	1606	883	1214
